Legenda
O = obbligatorio per la struttura del file.
F = facoltativo. Se non disponibile, omettere il dato.
C = richiesto solo per alcune metriche o configurazioni.
N/D = limite minimo/massimo non espresso come numero.

FILE | DATO | TIPO | OBBLIGO | MIN VALUE | MAX VALUE | VALORI AMMESSI | NOTE
data_system.json | query_workload.queries[].projection_paths[][] | oggetto passo | O | N/D | N/D | passo del percorso di proiezione | Primo passo: solo entity. Passi successivi: relationship + entity, con remote_fraction_if_separate opzionale.
data_system.json | query_workload.queries[].projection_paths[][].entity | stringa | O | N/D | N/D | entità ER esistente | Il primo passo deve coincidere con target_entity.
data_system.json | query_workload.queries[].projection_paths[][].relationship | stringa | O dopo il primo passo | N/D | N/D | relazione ER coerente con il passo precedente |
data_system.json | query_workload.queries[].projection_paths[][].remote_fraction_if_separate | frazione | C | 0 | 1 | [0,1] | Richiesta dalla metrica 11 su sistemi multi-nodo per i passi pertinenti.
data_system.json | query_workload.queries[].predicates | array | F | 0 elementi | nessun limite | oggetti che descrivono i predicati |
data_system.json | query_workload.queries[].predicates[].entity | stringa | O se predicato presente | N/D | N/D | entità presente nei selection_paths |
data_system.json | query_workload.queries[].predicates[].attribute | stringa | O se predicato presente | N/D | N/D | attributo esistente |
data_system.json | query_workload.queries[].predicates[].operator | stringa | O se predicato presente | non vuota | nessun limite | testo libero, ad es. eq, lt, gt |
data_system.json | query_workload.queries[].predicates[].selectivity | frazione | C | 0 | 1 | [0,1] | Richiesta dalle metriche 3, 4 e 5 per le query con frequenza positiva.
data_system.json | query_workload.queries[].predicates[].index | stringa | F | N/D | N/D | nome di un indice definito |
data_system.json | query_workload.queries[].predicates[].post_index_selectivity | frazione | F | 0 | 1 | [0,1] |
data_system.json | query_workload.queries[].projection_attributes | array | F | 0 elementi | nessun limite | oggetti che descrivono i dati proiettati |
data_system.json | query_workload.queries[].projection_attributes[].entity | stringa | O se elemento presente | N/D | N/D | entità presente nei projection_paths |
data_system.json | query_workload.queries[].projection_attributes[].attribute | stringa | O se elemento presente | N/D | N/D | attributo esistente |
data_system.json | query_workload.queries[].estimated_result_cardinality | numero | F | 0 | nessun limite | >= 0 |
data_system.json | query_workload.queries[].estimated_avg_result_size_bytes | numero | F | 0 | nessun limite | >= 0 |
data_system.json | query_workload.queries[].temporary_operations | array | F | 0 elementi | nessun limite | oggetti che descrivono le operazioni temporanee |
data_system.json | query_workload.queries[].temporary_operations[].type | stringa | O se elemento presente | non vuota | nessun limite | testo libero, ad es. sort, group |
data_system.json | query_workload.queries[].temporary_operations[].after_entity | stringa | O se elemento presente | N/D | N/D | entità ER esistente |
data_system.json | query_workload.queries[].temporary_operations[].items_kept | numero | F | 0 | nessun limite | >= 0 |
data_system.json | query_workload.queries[].temporary_operations[].avg_item_size_bytes | numero | F | 0 | nessun limite | >= 0 |
data_system.json | update_workload.frequency_type | stringa enum | O | N/D | N/D | absolute, weight |
data_system.json | update_workload.updates | array | O | 0 elementi | nessun limite | oggetti che descrivono gli update |
data_system.json | update_workload.updates[].name | stringa | O | non vuota | nessun limite | univoca nel workload |
data_system.json | update_workload.updates[].frequency | numero | O | 0 | nessun limite | >= 0 |
data_system.json | update_workload.updates[].operation | stringa enum | O | N/D | N/D | set_attribute, add_relationship, remove_relationship |
data_system.json | update_workload.updates[].target | oggetto | O | N/D | N/D | dati dipendenti da operation |
data_system.json | update_workload.updates[].target.entity | stringa | C | N/D | N/D | entità ER esistente | Obbligatoria per set_attribute.
data_system.json | update_workload.updates[].target.attribute | stringa | C | N/D | N/D | attributo di target.entity | Obbligatoria per set_attribute.
data_system.json | update_workload.updates[].target.relationship | stringa | C | N/D | N/D | relazione ER esistente | Obbligatoria per add_relationship/remove_relationship.
data_system.json | update_workload.updates[].granularity | stringa enum | O | N/D | N/D | field, subdocument, document |
data_system.json | update_workload.updates[].avg_modified_size_bytes | numero | C | 0 | nessun limite | >= 0 | Per la metrica 15, se specificato, deve essere > 0. Per gli update su una relazione è richiesto.
data_system.json | indexes[].name | stringa | O se indice presente | non vuota | nessun limite | univoca |
data_system.json | indexes[].fields | array | O se indice presente | 1 elemento | nessun limite | oggetti entity/attribute |
data_system.json | indexes[].fields[].entity | stringa | O | N/D | N/D | entità ER esistente |
data_system.json | indexes[].fields[].attribute | stringa | O | N/D | N/D | attributo esistente |
data_system.json | indexes[].participation_fraction | frazione | C | 0 | 1 | [0,1] |
data_system.json | indexes[].avg_entry_memory_bytes | numero | C | 0 | nessun limite | >= 0 |
data_system.json | indexes[].avg_entry_storage_bytes | numero | C | 0 | nessun limite | >= 0 |
data_system.json | system.technology | oggetto | O | N/D | N/D | name + version |
data_system.json | system.technology.name | stringa enum | O | N/D | N/D | mongodb, couchbase |
data_system.json | system.technology.version | stringa | O | non vuota | nessun limite | testo libero, ad es. 8.0 |
data_system.json | system.memory | oggetto | C | N/D | N/D | quote di memoria |
data_system.json | system.memory.data_available_bytes | numero | C | > 0 | nessun limite | > 0 |
data_system.json | system.memory.index_available_bytes | numero | C | > 0 | nessun limite | > 0 |
data_system.json | system.temporary_storage | oggetto | C | N/D | N/D | configurazione temporanea |
data_system.json | system.temporary_storage.memory_limit_bytes | numero | C | > 0 | nessun limite | > 0 |
data_system.json | system.temporary_storage.spill_allowed | booleano | F | N/D | N/D | true, false | Validato ma non usato nel valore della metrica 8.
data_system.json | system.temporary_storage.disk_limit_bytes | numero | F | 0 | nessun limite | >= 0 | Validato ma non usato nel valore della metrica 8.
data_system.json | system.replication | oggetto | C | N/D | N/D | repliche |
data_system.json | system.replication.document_replicas | intero | C | 0 | nessun limite | >= 0 | Copie aggiuntive: 0 = una copia totale.
data_system.json | system.replication.index_replicas | intero | C | 0 | nessun limite | >= 0 | Copie aggiuntive.
data_system.json | system.distribution | oggetto | C | N/D | N/D | distribuzione |
data_system.json | system.distribution.nodes | intero | C | 1 | nessun limite | >= 1 |
data_system.json | system.size_estimates | oggetto | C | N/D | N/D | rapporti di dimensione |
data_system.json | system.size_estimates.memory_ratio | numero | C | > 0 | nessun limite | > 0 |
data_system.json | system.size_estimates.storage_ratio | numero | C | > 0 | nessun limite | > 0 |
data_system.json | migration.mode | stringa enum | O se migration presente | N/D | N/D | full_rebuild |
data_system.json | migration.source_structures | array | O se migration presente | 0 a livello strutturale / 1 con metrica 17 e scenario migration | nessun limite | oggetti che descrivono le sorgenti |
data_system.json | migration.source_structures[].name | stringa | O | non vuota | nessun limite | univoca |
data_system.json | migration.source_structures[].instances | intero | O | 0 | nessun limite | >= 0 |
data_system.json | migration.source_structures[].avg_size_bytes | numero | O | 0 | nessun limite | >= 0 | Dimensione media persistente della sorgente.
data_system.json | migration.source_structures[].maps_to | array di stringhe | O | 1 elemento | nessun limite | nomi di entità ER |
